INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,OFFICER_GENDER,OFFICER_RACE
8516,07/18/2016 05:11:00 AM,2016-215254,LCP160718000235,DISTRICT 3,9826,INJURY TO PRISONER,57XX GLENWAY AV,39.1350722468226,-84.6122069095633,MALE,BLACK,MALE,TWO OR MORE
3355,08/07/2007 03:34:00 AM,2007-102037,P072190208,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX BANK ST,39.1205405155158,-84.5321026382982,MALE,BLACK,MALE,WHITE
3048,03/28/2007 01:58:00 AM,2007-96285,P070870133,DISTRICT 5,9826,INJURY TO PRISONER,11XX STRAIGHT ST,39.130557463673,-84.5354636929337,MALE,WHITE,MALE,WHITE
-7120,07/18/2003 07:42:00 PM,20030545,P031991529,DISTRICT 4,9825,CHEMICAL IRRITANT,7XX E MCMILLAN ST,39.1258252549024,-84.4930955667328,MALE,BLACK,FEMALE,WHITE
5241,04/15/2010 01:12:00 PM,2010-142774,LCP100415000728,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,22XX VINE ST,39.1208987122278,-84.5159695233258,MALE,WHITE,MALE,BLACK
6294,01/20/2012 02:46:00 PM,2012-165247,LCP120120000822,DISTRICT 5,9826,INJURY TO PRISONER,XX TOPRIDGE PL,39.1817653908669,-84.510730703237,MALE,BLACK,MALE,WHITE
1730,11/07/2005 02:04:00 AM,2005-75041,#P053110142,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,34XX BURNET AV,39.1449445014046,-84.4998147671831,MALE,BLACK,MALE,WHITE
3386,08/17/2007 11:29:00 PM,2007-102450,P072291792,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX W MCMICKEN AV,39.1189880747754,-84.5189003786495,MALE,BLACK,MALE,WHITE
-7426,11/21/2003 08:23:00 PM,20030853,P033251501,DISTRICT 2,9825,CHEMICAL IRRITANT,33XX FAIRFIELD AV,39.13847521659,-84.4730316439326,FEMALE,BLACK,MALE,WHITE
7541,08/09/2014 07:30:00 PM,2014-193690,LCP140809001325,DISTRICT 4,9826,INJURY TO PRISONER,34XX HARVEY AV,39.1448355710358,-84.4986589683616,MALE,BLACK,MALE,WHITE
4429,12/13/2008 08:58:00 PM,2008-124088,LCP081213001455,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,13XX WILLIAMSBURG RD,39.2159385873606,-84.4841344873572,FEMALE,BLACK,MALE,BLACK
7852,05/07/2015 02:11:00 PM,2015-201301,LCP150507000793,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,13XX RYLAND AV,39.1788729622334,-84.4760252872077,MALE,BLACK,MALE,WHITE
3821,03/19/2008 09:04:00 PM,2008-110528,LCP080319001491,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,X W CORRY ST,39.1287600328909,-84.5107567457541,MALE,BLACK,MALE,WHITE
-4555,11/22/2000 10:53:00 PM,20001253,P003271385,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,11XX MAIN ST,39.1081450226892,-84.5117085828843,MALE,WHITE,MALE,WHITE
2377,07/01/2006 02:46:00 AM,2006-84908,P061820354,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX DELTA AV,39.1292323440822,-84.4298189255365,MALE,WHITE,MALE,WHITE
4569,03/26/2009 12:43:00 PM,2009-128170,LCP090326000656,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,35XX VINE ST,39.1469485944663,-84.5121096423377,MALE,BLACK,MALE,BLACK
-566,04/14/1997 10:31:00 PM,9700210,P971041223,DISTRICT 5,9825,CHEMICAL IRRITANT,XX TOPRIDGE PL,39.1833293100964,-84.5122223902311,FEMALE,BLACK,MALE,TWO OR MORE
-580,03/18/1997 09:10:00 PM,9700224,P970771192,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,2XX E LIBERTY ST,39.1120322884639,-84.5117403946114,MALE,BLACK,MALE,WHITE
6769,12/16/2012 03:32:00 PM,2013-177352,LCP121216000833,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX W 4TH ST,39.1000128322422,-84.5135234119425,FEMALE,BLACK,FEMALE,BLACK
8193,11/14/2015 10:52:00 PM,2015-207207,LCP151114001449,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,55XX BOSWORTH PL,39.176474757928,-84.4443537943588,MALE,HISPANIC/LATINO,MALE,BLACK
1821,12/08/2005 09:32:00 AM,2005-76214,P053420443,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX HEMLOCK ST,39.1282843175344,-84.494150461389,MALE,BLACK,FEMALE,WHITE
2109,03/22/2006 06:51:00 PM,2006-80033,P060811325,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX REPUBLIC ST,39.1114059490518,-84.5169755763055,FEMALE,BLACK,FEMALE,BLACK
3522,10/17/2007 09:30:00 PM,2007-104912,P072901542,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX STANTON AV,39.1297075673368,-84.4920480859021,MALE,BLACK,MALE,BLACK
2872,01/01/2007 02:46:00 AM,2007-93097,P070010323,DISTRICT 1,9826,INJURY TO PRISONER,10XX SYCAMORE ST,39.1061892703841,-84.5096533658817,MALE,BLACK,MALE,WHITE
-5523,09/30/2001 05:30:00 PM,20010947,P012730894,DISTRICT 2,9826,INJURY TO PRISONER,20XX MADISON RD,39.1324648092075,-84.4610682911989,MALE,BLACK,MALE,WHITE
5169,03/03/2010 08:34:00 PM,2010-141207,LCP100303001469,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,30XX KERPER AV,39.1349779430707,-84.4882644079206,MALE,BLACK,MALE,BLACK
6967,07/05/2013 08:18:00 PM,2013-182411,LCP130705001680,DISTRICT 2,9826,INJURY TO PRISONER,7XX DELTA AV,39.1265346782797,-84.4332346422118,MALE,WHITE,FEMALE,WHITE
3924,04/29/2008 08:48:00 PM,2008-113399,LCP80429001525,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX HARRISON AV,39.1439373671381,-84.5948310628015,MALE,BLACK,MALE,WHITE
2544,07/06/2006 02:45:00 AM,2006-87480,P061870212,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,31XX READING RD,39.1350380453728,-84.4961563143653,MALE,BLACK,MALE,WHITE
5063,12/18/2009 09:38:00 AM,2009-138986,LCP091218000464,DISTRICT 1,9826,INJURY TO PRISONER,18XX DALTON AV,39.1180395423003,-84.5359094158024,MALE,BLACK,MALE,WHITE
-1440,03/07/1998 04:55:00 AM,9800193,P980660307,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,22XX SELIM AV,39.1239660246208,-84.5517654615973,MALE,BLACK,MALE,WHITE
3374,08/14/2007 05:30:00 PM,2007-102340,P072261201,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,30XX GILBERT AV,39.1346034207628,-84.4835517490513,MALE,BLACK,MALE,BLACK
5067,12/20/2009 06:01:00 PM,2009-139022,LCP091220000949,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX SPRING GROVE AV,39.1326997459344,-84.5380705335014,MALE,WHITE,MALE,WHITE
8258,01/03/2016 11:23:00 PM,2016-208587,LCP160103001225,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,77XX READING RD,39.2037559939235,-84.4565841719596,MALE,BLACK,FEMALE,WHITE
-6428,10/11/2002 10:55:00 PM,20020683,P022841656,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,9XX ELBERON AV,39.107902300059,-84.5662497480154,MALE,WHITE,MALE,WHITE
7553,08/20/2014 04:34:00 PM,2014-194018,LCP140820001148,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,20XX SEYMOUR AV,,,MALE,BLACK,MALE,BLACK
7991,08/10/2015 12:33:00 AM,2015-204023,LCP150810000025,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,53XX WINNESTE AV,39.1882142987106,-84.5138670819978,MALE,BLACK,MALE,WHITE
4925,09/21/2009 08:25:00 PM,2009-135891,LCP090921001585,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,24XX MADISON RD,39.1398322492707,-84.4532175097825,MALE,WHITE,MALE,BLACK
-5542,10/09/2001 08:12:00 PM,20010966,P012821474,DISTRICT 1,9825,CHEMICAL IRRITANT,12XX LINN ST,39.1076733533867,-84.5287082715977,MALE,BLACK,MALE,WHITE
6498,06/17/2012 05:47:00 PM,2012-170555,LCP120617000922,DISTRICT 2,9826,INJURY TO PRISONER,25XX MEADOWMAR LN,39.1001961990792,-84.3859144781109,MALE,WHITE,MALE,BLACK
2795,11/29/2006 02:05:00 AM,2006-91879,P063330133,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,77XX READING RD,39.2032818677163,-84.455837032417,MALE,BLACK,MALE,BLACK
6732,11/03/2012 10:03:00 AM,2012-176761,LCP121103000460,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,3XX EZZARD CHARLES DR,39.1088920012991,-84.521859034775,MALE,BLACK,MALE,WHITE
3736,01/18/2008 03:41:00 PM,2008-109552,LCP080118001037,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,15XX CHASE AV,39.1638759271395,-84.5376891132756,MALE,BLACK,MALE,WHITE
-5454,09/12/2001 07:41:00 PM,20010875,P012551327,DISTRICT 5,9826,INJURY TO PRISONER,49XX WINNESTE AV,39.179706670458,-84.5120340412104,MALE,BLACK,MALE,WHITE
6399,04/18/2012 12:42:00 PM,2012-168356,LCP120418000679,DISTRICT 4,9826,INJURY TO PRISONER,83XX BURNS CT,39.2122975329996,-84.4688427739882,MALE,WHITE,MALE,WHITE
5062,12/03/2009 04:30:00 PM,2009-138984,LCP091203000971,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,24XX QUEEN CITY AV,39.1307127080938,-84.5843573768828,MALE,BLACK,MALE,WHITE
-6225,08/01/2002 02:20:00 AM,20020479,P022130292,DISTRICT 1,9826,INJURY TO PRISONER,12XX REPUBLIC ST,39.1092600115066,-84.5165866753575,MALE,BLACK,MALE,WHITE
-7970,06/28/2004 08:16:00 PM,20040471,P041801608,DISTRICT 1,9826,INJURY TO PRISONER,8XX DAYTON ST,39.1189848238916,-84.5290689740077,MALE,BLACK,MALE,WHITE
-5725,12/24/2001 08:34:00 PM,20011156,P013581004,DISTRICT 3,9825,CHEMICAL IRRITANT,10XX PURCELL AV,39.1120664596353,-84.5645786317516,MALE,WHITE,MALE,WHITE
5312,05/27/2010 02:09:00 AM,2010-144135,LCP100527000135,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,3XX TUSCULUM AV,39.1129285639111,-84.4358082705081,MALE,WHITE,MALE,WHITE
3637,10/18/2007 03:35:00 PM,2007-107590,P072911062,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,5XX WALNUT ST,39.1027545711063,-84.509968031456,FEMALE,BLACK,FEMALE,BLACK
8847,04/01/2017 10:50:00 PM,2017-223199,CPD170401001540,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX BURNET AV,39.1373875827681,-84.5008691551466,MALE,BLACK,MALE,WHITE
-8138,08/25/2004 12:39:00 AM,20040642,P042380059,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX VINE ST,39.1245403200208,-84.5142794783248,MALE,BLACK,MALE,WHITE
-1722,06/20/1998 12:01:00 AM,9800481,P981701559,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX RACE ST,39.1141979813701,-84.5172146688899,MALE,BLACK,FEMALE,WHITE
-5876,03/07/2002 08:10:00 PM,20020127,P020661444,DISTRICT 4,9825,CHEMICAL IRRITANT,31XX VAN BUREN AV,39.1357973952441,-84.4935029456574,MALE,BLACK,MALE,WHITE
4557,03/21/2009 04:02:00 AM,2009-127976,LCP090321000259,DISTRICT 4,9826,INJURY TO PRISONER,76XX REINHOLD DR,39.2014390097453,-84.4516737623656,MALE,BLACK,MALE,WHITE
7656,10/07/2014 12:24:00 AM,2014-195887,LCP1410070000016,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,8XX W 8TH ST,39.1034332676289,-84.5288863378,MALE,BLACK,MALE,WHITE
8663,10/18/2016 02:44:00 PM,2016-218768,LCP161018000936,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,33XX BURNET AV,39.1408785675794,-84.5028115210295,FEMALE,BLACK,MALE,WHITE
-5458,09/13/2001 02:05:00 AM,20010879,P012560128,DISTRICT 4,9826,INJURY TO PRISONER,10XX WILLIAM H TAFT RD,39.1265899037589,-84.4855503061274,MALE,BLACK,MALE,WHITE
6015,07/23/2011 11:20:00 AM,2011-159044,LCP110723000595,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,55XX WINTON RD,39.1913795039665,-84.5259877801768,MALE,BLACK,MALE,BLACK
3747,02/06/2008 06:05:00 PM,2008-109649,LCP080206001370,VORTEX UNIT,9826,INJURY TO PRISONER,21XX FARADAY RD,39.1519526947819,-84.5603123466565,MALE,BLACK,MALE,BLACK
-1448,03/16/1998 12:55:00 PM,9800202,P980750506,DISTRICT 3,9825,CHEMICAL IRRITANT,24XX BALTIMORE AV,39.1545050347903,-84.5639312986395,MALE,BLACK,MALE,BLACK
-6812,03/20/2003 07:07:00 PM,20030235,P030791421,DISTRICT 2,9826,INJURY TO PRISONER,57XX PEABODY AV,39.1582670949119,-84.3969374812142,MALE,BLACK,MALE,WHITE
6322,02/18/2012 01:20:00 PM,2012-166323,LCP120218000730,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,30XX QUEEN CITY AV,39.1357776016784,-84.6008715468537,FEMALE,BLACK,MALE,WHITE
8716,12/13/2016 02:12:00 AM,2016-220050,LCP161213000099,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,46XX W MITCHELL AV,39.1736692304707,-84.5161336830373,MALE,BLACK,MALE,BLACK
-832,07/08/1997 09:50:00 PM,9700481,P971891409,DISTRICT 5,9826,INJURY TO PRISONER,30XX COLERAIN AV,39.1370348460194,-84.5370828264421,MALE,BLACK,MALE,BLACK
-7113,07/12/2003 09:56:00 PM,20030538,P031931530,DISTRICT 5,9826,INJURY TO PRISONER,54XX WINNESTE AV,39.1884501199756,-84.5135491369226,MALE,BLACK,FEMALE,WHITE
7690,12/02/2014 01:33:00 PM,2014-196851,LCP141202000652,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,14XX LAIDLAW AV,39.178304697829,-84.4736422833927,MALE,BLACK,MALE,WHITE
6258,12/28/2011 08:46:00 PM,2011-164510,LCP111228001270,DISTRICT 4,9826,INJURY TO PRISONER,25XX BURNET AV,39.1262229845456,-84.5025606021302,MALE,WHITE,MALE,ASIAN
4146,08/08/2008 01:53:00 PM,2008-118639,LCP080808000945,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,18XX FREEMAN AV,39.116220787872,-84.5317779740652,MALE,BLACK,MALE,WHITE
5121,01/23/2010 07:59:00 PM,2010-139972,LCP100123001424,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,33XX READING RD,39.138404624359,-84.4944154533427,MALE,BLACK,MALE,WHITE
5266,05/06/2010 07:23:00 PM,2010-143408,LCP100506001590,DISTRICT 2,9826,INJURY TO PRISONER,15XX ST LEGER PL,39.1370355270748,-84.4771725291653,MALE,BLACK,MALE,WHITE
-1041,10/01/1997 09:25:00 AM,9701280,P972740358,DISTRICT 3,9826,INJURY TO PRISONER,19XX HARRISON AV,39.1288989524974,-84.5624196592584,MALE,WHITE,MALE,WHITE
7131,10/13/2013 01:15:00 AM,2013-185469,LCP131013000086,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX STRATFORD AV,39.1270854426931,-84.5235208622476,MALE,WHITE,FEMALE,BLACK
2148,04/11/2006 10:06:00 PM,2006-81150,P061011904,DISTRICT 1,9826,INJURY TO PRISONER,16XX PLEASANT ST,39.1132795935484,-84.5175162073571,MALE,BLACK,FEMALE,WHITE
3481,09/26/2007 02:58:00 AM,2007-104071,P072690155,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,34XX READING RD,39.1426620925983,-84.4911752281007,MALE,BLACK,MALE,WHITE
-5844,02/18/2002 04:03:00 PM,20020095,P020490869,DISTRICT 2,9825,CHEMICAL IRRITANT,65XX MONTGOMERY RD,39.1885123502761,-84.4167687467868,MALE,BLACK,FEMALE,BLACK
2355,06/02/2006 05:45:00 PM,2006-84658,P061531146,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,28XX CENTRAL PKWY,39.1347370756699,-84.5325253215287,MALE,BLACK,MALE,WHITE
-4683,02/16/2001 05:40:00 PM,20010099,P010471155,DISTRICT 3,9825,CHEMICAL IRRITANT,21XX KARLA DR,39.1368954771701,-84.5710342575263,FEMALE,BLACK,FEMALE,WHITE
395,12/16/2004 11:55:00 PM,2004-53173,P043511603,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,11XX WALNUT ST,39.1077513658425,-84.5128937708615,MALE,BLACK,MALE,TWO OR MORE
-7250,09/16/2003 07:59:00 PM,20030675,P032591537,DISTRICT 3,9826,INJURY TO PRISONER,32XX MCHENRY AV,39.1447538927778,-84.5735719522132,MALE,BLACK,MALE,BLACK
844,02/22/2005 12:25:00 AM,2005-62418,P050530038,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,22XX AUBURN AV,39.1213536660211,-84.5081271901704,MALE,BLACK,MALE,WHITE
7134,10/15/2013 05:09:00 PM,2013-185577,LCP131015001251,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX VINE ST,39.1126402596599,-84.5165033804868,MALE,BLACK,MALE,WHITE
8923,05/25/2017 07:18:00 AM,2017-224958,CPD170525000235,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,49XX WINNESTE AV,39.1801105471903,-84.5110166333802,MALE,BLACK,MALE,WHITE
-7313,09/24/2003 05:10:00 PM,20030738,P032671289,DISTRICT 1,9826,INJURY TO PRISONER,8XX EZZARD CHARLES DR,39.1096935557982,-84.5281558729726,MALE,WHITE,MALE,WHITE
7264,02/17/2014 06:20:00 PM,2014-188947,LCP140217001049,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX MOOSEWOOD AV,39.1430416994035,-84.5516047004246,MALE,BLACK,MALE,WHITE
-7681,03/26/2004 03:37:00 AM,20040180,P040860223,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX ESMONDE ST,39.1242095096014,-84.5566936238627,MALE,BLACK,MALE,BLACK
-7571,01/19/2004 04:50:00 PM,20040070,P041019023,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,14XX VINE ST,39.1123944659202,-84.514788002501,FEMALE,BLACK,FEMALE,WHITE
-67,08/28/1996 01:31:00 AM,9600220,P962410076,DISTRICT 1,9825,CHEMICAL IRRITANT,14XX RACE ST,39.1095827468258,-84.5175913217522,MALE,BLACK,MALE,WHITE
6095,08/06/2011 01:15:00 PM,2011-160843,LCP110806000804,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,X E 72ND ST,39.1948845612817,-84.4780540296252,MALE,BLACK,MALE,BLACK
-3948,07/17/2000 04:10:00 PM,20000644,P001990976,DISTRICT 1,9826,INJURY TO PRISONER,18XX LINN ST,39.1156186484675,-84.5258778929245,MALE,BLACK,MALE,BLACK
4353,11/21/2008 01:43:00 PM,2008-123368,LCP081121000729,DISTRICT 4,9826,INJURY TO PRISONER,2XX GOODMAN ST,39.1383252823833,-84.5039122007899,MALE,WHITE,FEMALE,BLACK
-6141,06/17/2002 09:01:00 PM,20020394,P021681538,DISTRICT 1,9826,INJURY TO PRISONER,13XX REPUBLIC ST,39.1106849590343,-84.515653428127,MALE,BLACK,MALE,WHITE
1356,07/02/2005 08:45:00 PM,2005-69926,P051831653,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,14XX VINE ST,39.1112665076347,-84.5149890183187,MALE,BLACK,MALE,WHITE
-5659,11/06/2001 07:20:00 AM,20011088,P013100218,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,27XX HARRISON AV,39.1414852984427,-84.5919127939307,MALE,BLACK,MALE,WHITE
8500,06/27/2016 07:54:00 PM,2016-214659,LCP160627001457,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,24XX HARRISON AV,39.1411568438187,-84.5805357879929,MALE,BLACK,MALE,WHITE
-1219,12/10/1997 01:32:00 AM,9701468,P973440054,DISTRICT 4,9825,CHEMICAL IRRITANT,26XX VINE ST,39.1304091228972,-84.5082348707903,MALE,WHITE,MALE,WHITE
924,03/16/2005 11:16:00 PM,2005-63351,P050751818,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,X W CORRY ST,39.1285800328909,-84.5104767457541,MALE,BLACK,MALE,WHITE
-6653,01/01/2003 12:55:00 AM,20030059,P030010094,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,9XX GRAND AV,39.1103257225034,-84.5611358216113,MALE,BLACK,MALE,WHITE
-6222,08/03/2002 12:52:00 AM,20020476,P022150068,DISTRICT 3,9825,CHEMICAL IRRITANT,21XX QUEEN CITY AV,39.1285594947995,-84.5740048282247,MALE,BLACK,MALE,WHITE
6110,09/18/2011 07:25:00 AM,2011-161186,LCP110918000350,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX MARKBREIT AV,39.1524792761586,-84.436891437135,MALE,WHITE,MALE,WHITE
-5267,07/08/2001 05:12:00 AM,20010687,P011890327,DISTRICT 5,9826,INJURY TO PRISONER,23XX OHIO AV,39.1240701424779,-84.517312965946,MALE,BLACK,MALE,WHITE
-7777,04/22/2004 08:06:00 PM,20040276,P041131425,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX MAY ST,39.1247915383005,-84.4965577743106,MALE,BLACK,MALE,WHITE
-4747,03/04/2001 02:30:00 AM,20010164,P010630208,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX E 12TH ST,39.1085278335358,-84.5117759391803,MALE,WHITE,MALE,WHITE
518,01/21/2004 05:30:00 PM,2005-60311,P040210994,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,15XX VINE ST,39.1121230073251,-84.5162045641921,MALE,BLACK,MALE,WHITE
-4314,10/11/2000 09:28:00 AM,20001010,P002850413,DISTRICT 3,9826,INJURY TO PRISONER,24XX HARRISON AV,39.1402653141682,-84.5817206816759,MALE,BLACK,FEMALE,WHITE
388,12/15/2004 11:09:00 PM,2004-53114,P043501534,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,18XX QUEEN CITY AV,39.1265228042931,-84.5612380250452,MALE,WHITE,MALE,WHITE
-2570,04/14/1999 02:10:00 PM,9900338,P991040584,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,41XX READING RD,39.1577347171649,-84.4727482018724,MALE,BLACK,MALE,WHITE
7663,11/01/2014 04:16:00 AM,2014-195945,LCP141101000235,DISTRICT 5,9826,INJURY TO PRISONER,13XX W NORTH BEND RD,39.2013749745657,-84.539408442857,MALE,BLACK,MALE,BLACK
-6403,10/18/2002 10:10:00 PM,20020658,P022911702,DISTRICT 2,9825,CHEMICAL IRRITANT,24XX MADISON RD,39.141028162761,-84.452997385335,MALE,BLACK,MALE,BLACK
5095,12/12/2009 08:20:00 PM,2010-139384,LCP091212001255,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX DORCHESTER AV,39.1185684566915,-84.509181563307,MALE,BLACK,MALE,WHITE
-4870,04/09/2001 09:09:00 PM,20010289,P010991689,DISTRICT 3,9826,INJURY TO PRISONER,12XX QUEBEC RD,39.1157069056966,-84.5752845583012,MALE,WHITE,MALE,WHITE
5839,04/12/2011 12:28:00 AM,2011-155342,LCP110412000022,DISTRICT 1,9826,INJURY TO PRISONER,15XX VINE ST,39.1132744073628,-84.5160421257482,FEMALE,WHITE,FEMALE,BLACK
3489,09/29/2007 02:28:00 PM,2007-104242,P072720721,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,35XX VAN ANTWERP PL,39.1473448027394,-84.4938944209188,MALE,BLACK,MALE,WHITE
2429,06/08/2006 08:16:00 AM,2006-85670,P061590409,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,19XX SUTTER AV,39.1416606751979,-84.557307979042,FEMALE,BLACK,MALE,WHITE
-8186,09/01/2004 03:51:00 PM,20040690,P042451052,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,58XX HAMILTON AV,39.1991106192449,-84.5463565806218,MALE,BLACK,MALE,WHITE
288,11/16/2004 04:30:00 AM,2004-51908,P043210164,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,57XX BRAMBLE AV,39.1527048602803,-84.3966277364338,MALE,BLACK,MALE,WHITE
8807,02/21/2017 04:56:00 PM,2017-222066,CPD17022100,DISTRICT 4,9826,INJURY TO PRISONER,41XX READING RD,39.1590842118165,-84.4742501065427,MALE,BLACK,MALE,BLACK
8731,01/04/2017 09:38:31 AM,2017-220529,LCP170104000432,SSS,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,35XX BURNET AV,39.1460654683251,-84.5006272460233,MALE,BLACK,MALE,BLACK
-4688,02/18/2001 01:40:00 AM,20010105,P010490134,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX STARK ST,39.1196791036077,-84.5245213964967,MALE,BLACK,MALE,BLACK
-5460,09/07/2001 04:00:00 AM,20010881,P012500168,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,5XX W MCMICKEN AV,39.1224973686014,-84.5307690852497,MALE,BLACK,MALE,WHITE
-7147,07/24/2003 12:25:00 AM,20030572,P032050034,DISTRICT 4,9826,INJURY TO PRISONER,16XX ANITA PL,39.175180340298,-84.4681055162451,MALE,BLACK,MALE,WHITE
7890,06/04/2015 02:16:00 PM,2015-202115,LCP150604000808,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX FAIRBANKS AV,39.109897592714,-84.5677941208948,MALE,BLACK,MALE,WHITE
1972,02/04/2006 08:51:00 PM,2006-78489,P060351393,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,58XX HAMILTON AV,39.1970737882034,-84.5466839988688,MALE,BLACK,MALE,BLACK
7508,07/19/2014 09:32:00 PM,2014-193129,LCP140719001307,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX VINE ST,39.1022706871909,-84.5133287472209,MALE,BLACK,MALE,BLACK
